BUMUGIBOLE T.C II (12),BUMUGIBOLE T C II (12)
BUSETA  CENTRAL (04),BUSETA CENTRAL (04)
ST. MICHAEL (03),ST MICHAEL (03)
MUNAMBA T.C (14),MUNAMBA T C (14)
MUNAMBA T.C (18),MUNAMBA T C (18)
MAGALE T.C (10),MAGALE T C (10)
SOSYO C.O.U (05),SOSYO COU (05)
ST. PHILLIP (11),ST PHILLIP (11)
NANDAUYA T.C (06),NANDAUYA T C (06)
ST. ANDREWS (09),ST ANDREWS (09)
BUWAMWANGU T.C (08),BUWAMWANGU T C (08)
MATALE T.C (18),MATALE T C (18)
ST. FRANCIS (06),ST FRANCIS (06)
U.E.B (07),U E B (07)
ST. MBAGA (08),ST MBAGA (08)
ST. BENDECT (06),ST BENDECT (06)
B1 - MIN. OF WORKS (01),B1 - MIN OF WORKS (01)
REG. CO-OP. I (30),REG CO-OP I (30)
ST. ANNE (09),ST ANNE (09)
ST. FRANCIS (01),ST FRANCIS (01)
ST. LUCIA (02),ST LUCIA (02)
D.F.I. (02),D F I (02)
U.E.B (06),U E B (06)
NYENGA S.S. (10),NYENGA S S (10)
NYENGA HOSP. (12),NYENGA HOSP (12)
KOTIDO S.S.S & MISSION (07),KOTIDO S S S & MISSION (07)
ST. JOSEPH (09),ST JOSEPH (09)
LOKOPO T.C (07),LOKOPO T C (07)
LOKOPO T.C WEST (09),LOKOPO T C WEST (09)
LOPEEI T.C (08),LOPEEI T C (08)
LOKUPOI T.C (03),LOKUPOI T C (03)
APEITOLIM T.C EAST (01),APEITOLIM T C EAST (01)
APEITOLIM T.C WEST (03),APEITOLIM T C WEST (03)
MATANY T.C EAST (08),MATANY T C EAST (08)
MATANY T.C WEST (09),MATANY T C WEST (09)
LOLET T.C (05),LOLET T C (05)
K.D.A (11),K D A (11)
1.1 (01),1 1 (01)
Q.6 (12),Q 6 (12)
F.F.1 (03),F F 1 (03)
G.G.3 (04),G G 3 (04)
NANKANDULO  T.C (07),NANKANDULO T C (07)
LWANYAMA T.C (06),LWANYAMA T C (06)
U.C.B. (06),U C B (06)
ST. MULUMBA (03),ST MULUMBA (03)
N.T.C KALIRO (04),N T C KALIRO (04)
NALUEWERERE T.CENTRE (05),NALUEWERERE T CENTRE (05)
KABALONGO T.C (03),KABALONGO T C (03)
BEKULA T.C (08),BEKULA T C (08)
KIRONGO T.C (02),KIRONGO T C (02)
BUKWAYA/BUTOOLI T.C (03),BUKWAYA/BUTOOLI T C (03)
KIRUMYA T.C. (02),KIRUMYA T C (02)
SAAD MEM SEC. SCH (09),SAAD MEM SEC SCH (09)
ST. JOHN SEMINARY KIBURARA (10),ST JOHN SEMINARY KIBURARA (10)
KAJWENGE T.C (01),KAJWENGE T C (01)
ST. THERESA GIRLS S.S (09),ST THERESA GIRLS S S (09)
KARAMBI T.CENTRE (04),KARAMBI T CENTRE (04)
NAMUHUGA N. EAST (01),NAMUHUGA N EAST (01)
NAMUHUGA N. WEST (02),NAMUHUGA N WEST (02)
KABURISOKE  (K) (01),KABURISOKE (K) (01)
KIGOYERA T.C (06),KIGOYERA T C (06)
KATOOKE T.C (08),KATOOKE T C (08)
ST. MATHEW (03),ST MATHEW (03)
ST. LEO's (11),ST LEO's (11)
AKOKORO S.S (03),AKOKORO S S (03)
IBUJE S.S (08),IBUJE S S (08)
ADAGANI T.C (16),ADAGANI T C (16)
DELE T.C (30),DELE T C (30)
ALONI P.7 SCHOOL (01),ALONI P 7 SCHOOL (01)
AGWEDOLA T.C (28),AGWEDOLA T C (28)
OLOK T.C (21),OLOK T C (21)
AGOBA T.C (31),AGOBA T C (31)
ALERE T.C (24),ALERE T C (24)
TELELA T.C (27),TELELA T C (27)
ANGET T.C (11),ANGET T C (11)
ADYENG T.C (22),ADYENG T C (22)
BAR RIO T.C (21),BAR RIO T C (21)
AMWA COMPREHENSIVE S.S (08),AMWA COMPREHENSIVE S S (08)
P.O BAR AJONGA (30),P O BAR AJONGA (30)
OBOKOLOT WEST. (06),OBOKOLOT WEST (06)
OLILIM  LOCAL VILLAGES (02),OLILIM LOCAL VILLAGES (02)
OGWETE  P.S. (16),OGWETE P S (16)
OTUKE S.S (33),OTUKE S S (33)
PWD NO.2 (11),PWD NO 2 (11)
PWD NO.3 (12),PWD NO 3 (12)
K.C.C (12),K C C (12)
ABOKE HIGH SCH. (01),ABOKE HIGH SCH (01)
OPOTA T.C (12),OPOTA T C (12)
ADUKU S.S.S. (01),ADUKU S S S (01)
ADYEDA T.C (02),ADYEDA T C (02)
ST. JOSEPH (03),ST JOSEPH (03)
KIZINDA T.C (06),KIZINDA T C (06)
RWENJERU T.C (08),RWENJERU T C (08)
KABALE N.T.C (03),KABALE N T C (03)
"KASHAKI ?, (03)",KASHAKI (03)
BUNAGANA T. CENTRE (01),BUNAGANA T CENTRE (01)
KYENSHAMA T.C (21),KYENSHAMA T C (21)
RUHAAMA T.C. (08),RUHAAMA T C (08)
KASAANA C.I (08),KASAANA C I (08)
KASAANA C.II (09),KASAANA C II (09)
KISIIZI HOSP. CELL (10),KISIIZI HOSP CELL (10)
BWAMBARA T .C (02),BWAMBARA T C (02)
RWABUKOBA S.S.S (09),RWABUKOBA S S S (09)
KASHENYI S.S. (03),KASHENYI S S (03)
BIKURUNGU T.C (01),BIKURUNGU T C (01)
IMMACULATE HEART S.S.S (01),IMMACULATE HEART S S S (01)
ST. GERALD'S S.S.S (07),ST GERALD'S S S S (07)
RWENKOBWA T.C (18),RWENKOBWA T C (18)
KANYANYA K. (03),KANYANYA K (03)
"""NKONGORO (RANCHES 13 (02)",NKONGORO (RANCHES 13 (02)
"""NYANKUMBA (RANCHES 17 (04)",NYANKUMBA (RANCHES 17 (04)
